time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
53.26,-0.117389925,-2.07E-02,0.174279347,1.01323545,0.427828133,230.2220612,1,44.25928497,-22.89841843,-2.044944286,-7.70490694,21.75,13.71200085,85.61299896,63602.691,3.683000088,6.71E-02,-117.7296272,33.6664525
53.27,-0.116531923,-2.08E-02,0.179271266,1.012130022,0.409329593,230.2281952,1,44.26031494,-22.89841843,-2.202247143,-7.70490694,21.75,13.72200108,85.61299896,63602.701,3.683000088,6.71E-02,-117.7296272,33.6664525
53.28,-0.115739122,-2.08E-02,0.175686806,1.011223078,0.446530074,230.2344818,1,44.26134109,-22.89841843,-2.044944286,-7.70490694,21.86250305,13.66700077,85.61299896,63602.711,3.683000088,6.71E-02,-117.7296272,33.6664525
53.29,-0.115014359,-2.07E-02,0.175383568,1.010523438,0.416891724,230.240799,1,44.26237106,-22.89841843,-2.044944286,-7.70490694,21.86250305,13.69800091,85.61299896,63602.721,3.683000088,6.71E-02,-117.7296272,33.6664525
53.3,-0.114358902,-2.06E-02,0.176444724,1.010035038,0.432669491,230.2470093,1,44.26340103,-22.89841843,-2.134832144,-7.70490694,21.86250305,13.70500088,85.61299896,63602.731,3.683000088,6.71E-02,-117.7296271,33.6664525
53.31,-0.113772862,-2.04E-02,0.170917481,1.009756804,0.482723624,230.2537384,1,44.264431,-22.89841843,-2.044944286,-7.70490694,21.97500229,13.5720005,85.61299896,63602.741,3.683000088,6.71E-02,-117.7296271,33.6664525
53.32,-0.113255538,-2.02E-02,0.170326918,1.009682775,0.433376372,230.2604523,1,44.26545715,-22.89841843,-1.887640357,-7.70490694,22.23750305,13.73600101,85.61299896,63602.751,3.683000088,6.71E-02,-117.7296271,33.6664525
53.33,-0.112805814,-2.00E-02,0.175431326,1.009802699,0.410593271,230.2666473,1,44.26648712,-22.89841843,-2.202247143,-7.70490694,21.97500229,13.8010006,85.61299896,63602.761,3.683000088,6.71E-02,-117.7296271,33.6664525
53.34,-0.112422548,-1.97E-02,0.170847803,1.010102391,0.451221406,230.2729797,1,44.26751709,-22.89841843,-2.044944286,-7.70490694,21.97500229,13.58200073,85.56500244,63602.771,3.683000088,6.71E-02,-117.7296271,33.6664525
53.35,-0.112104923,-0.019521015,0.171271309,1.010564566,0.428438276,230.2794342,1,44.26836014,-22.89841843,-1.820224166,-7.70490694,21.97500229,13.69800091,85.56500244,63602.781,3.683000088,0.559234083,-117.7296271,33.6664525
53.36,-0.111852698,-1.93E-02,0.172925368,1.011169076,0.438047498,230.2857513,1,44.26920319,-22.89841843,-2.202247143,-7.70490694,21.97500229,13.77000046,85.56500244,63602.791,3.683000088,0.559234083,-117.7296271,33.6664525
53.37,-0.111666463,-1.91E-02,0.168737739,1.011894226,0.485360652,230.2925262,1,44.27004242,-22.89841843,-2.044944286,-7.70490694,21.97500229,13.56800079,85.56500244,63602.801,3.683000088,0.559234083,-117.7296271,33.6664525
53.38,-0.111547783,-1.90E-02,0.16777575,1.012717009,0.436700106,230.2993011,1,44.27088547,-22.89841843,-1.730337501,-7.70490694,21.97500229,13.67100048,85.56500244,63602.811,3.683000088,0.559234083,-117.7296271,33.6664525
53.39,-0.111499228,-1.89E-02,0.172706872,1.013614416,0.410319149,230.3055115,1,44.27172852,-22.89841843,-2.202247143,-7.70490694,22.125,13.75300121,85.56500244,63602.821,3.683000088,0.559234083,-117.7296271,33.6664525
53.4,-0.111524343,-1.88E-02,0.166263074,1.014563799,0.450777054,230.3118439,1,44.27257156,-22.89841843,-1.977528095,-7.70490694,21.86250305,13.48900032,85.56500244,63602.831,3.683000088,0.559234083,-117.729627,33.6664525
53.41,-0.111627519,-1.88E-02,0.166797817,1.015543461,0.429537565,230.3182983,1,44.27341461,-22.89841843,-1.730337501,-7.70490694,21.97500229,13.74600124,85.56500244,63602.841,3.683000088,0.559234083,-117.729627,33.6664525
53.42,-0.111813746,-1.88E-02,0.169370547,1.016533732,0.433148414,230.3246002,1,44.27425766,-22.89841843,-2.269663334,-7.70490694,21.97500229,13.80400085,85.56500244,63602.851,3.683000088,0.559234083,-117.729627,33.6664525
53.43,-0.112088352,-0.018844461,0.17353721,1.017517567,0.480461568,230.3313293,1,44.27509689,-22.89841843,-1.977528095,-7.70490694,21.97500229,13.54800034,85.56500244,63602.861,3.683000088,0.559234083,-117.729627,33.6664525
53.44,-0.112456597,-1.89E-02,0.171767861,1.018480182,0.431801021,230.3379974,1,44.27593994,-22.89841843,-1.573033571,-7.70490694,21.97500229,13.66400051,85.56500244,63602.871,3.683000088,0.559234083,-117.729627,33.6664525
53.45,-0.112923279,-1.90E-02,0.171132863,1.019410491,0.462832928,230.344574,1,44.27678299,-22.89841843,-2.202247143,-7.70490694,21.97500229,13.77700043,85.54299927,63602.881,3.683000088,0.559234083,-117.729627,33.6664525
53.46,-0.113492265,-1.92E-02,0.16504021,1.020300388,0.503290832,230.3516388,1,44.27781296,-22.89841843,-2.044944286,-7.213100433,21.97500229,13.50300026,85.54299927,63602.891,3.683000088,0.335540473,-117.729627,33.6664525
53.47,-0.114166081,-1.93E-02,0.166358486,1.021145225,0.452835441,230.3586578,1,44.27884293,-22.89841843,-1.730337501,-7.70490694,21.97500229,13.70900059,85.54299927,63602.901,3.683000088,0.335540473,-117.729627,33.6664525
